28.04.2009,SPIEGEL ONLINE,Supercomputer soll Jeopardy gewinnen,http://www.spiegel-online.de/netzwelt/web/netzwelt-ticker-supercomputer-soll-jeopardy-gewinnen-a-621624.html
06.04.2009,DER SPIEGEL,Der Dreiarmige von Aberystwyth,http://www.spiegel-online.de/spiegel/print/d-64949446.html
04.04.2009,SPIEGEL ONLINE,Computer entdeckt selbständig Naturgesetze,http://www.spiegel-online.de/wissenschaft/mensch/intelligenter-rechner-computer-entdeckt-selbstaendig-naturgesetze-a-617305.html
23.04.2007,DER SPIEGEL,Rechner von morgen,http://www.spiegel-online.de/spiegel/print/d-51292088.html
15.01.2007,DER SPIEGEL,Verständige Computer dank Wikipedia,http://www.spiegel-online.de/spiegel/print/d-50186317.html
12.06.2006,DER SPIEGEL,Rundes in Eckiges,http://www.spiegel-online.de/spiegel/print/d-47209154.html
23.12.2005,DER SPIEGEL,Roboter in der Krabbelstube,http://www.spiegel-online.de/spiegel/print/d-44943987.html
02.05.2005,SPIEGEL ONLINE,Interview mit einem Schlaumeier,http://www.spiegel-online.de/netzwelt/tech/kuenstliche-intelligenz-interview-mit-einem-schlaumeier-a-354040.html
01.11.2003,SPIEGEL SPECIAL,Ende des Größenwahns,http://www.spiegel-online.de/spiegel/spiegelspecial/d-29045376.html
01.11.2003,SPIEGEL SPECIAL,BÜCHERTIPPS,http://www.spiegel-online.de/spiegel/spiegelspecial/d-29045380.html
23.06.2003,DER SPIEGEL,Computer am Pokertisch,http://www.spiegel-online.de/spiegel/print/d-27442234.html
02.12.2002,DER SPIEGEL,Teufelchen im Anflug,http://www.spiegel-online.de/spiegel/print/d-25834625.html
03.06.2002,DER SPIEGEL,Der automatische Horowitz,http://www.spiegel-online.de/spiegel/print/d-22776350.html
15.09.2001,DER SPIEGEL,Bruder Maschinenmensch,http://www.spiegel-online.de/spiegel/print/d-20129480.html
18.06.2001,DER SPIEGEL,Schach als Studiengang,http://www.spiegel-online.de/spiegel/print/d-19438041.html
28.08.2000,DER SPIEGEL,EINE WELT WIE IM DISNEY-FILM,http://www.spiegel-online.de/spiegel/print/d-17218665.html
12.06.2000,DER SPIEGEL,MASCHINEN MIT GEFÜHL,http://www.spiegel-online.de/spiegel/print/d-16659129.html
12.06.2000,DER SPIEGEL,OHREN AM KNIE,http://www.spiegel-online.de/spiegel/print/d-16659131.html
12.06.2000,DER SPIEGEL,MUSTER IM CHAOS,http://www.spiegel-online.de/spiegel/print/d-16659130.html
08.05.2000,DER SPIEGEL,„WIR WAREN WIE ZWILLINGE“,http://www.spiegel-online.de/spiegel/print/d-16358484.html
26.07.1999,DER SPIEGEL,Lego zum Elfmeter,http://www.spiegel-online.de/spiegel/print/d-14011010.html
12.04.1999,DER SPIEGEL,Leuchtende Gedanken,http://www.spiegel-online.de/spiegel/print/d-11616912.html
18.01.1999,DER SPIEGEL,Gefahr für Mann und Maus,http://www.spiegel-online.de/spiegel/print/d-8510121.html
17.08.1998,DER SPIEGEL,Ins Stocken geraten,http://www.spiegel-online.de/spiegel/print/d-7964890.html
01.06.1998,DER SPIEGEL,Zehntausend stürzten ab,http://www.spiegel-online.de/spiegel/print/d-7898339.html
19.05.1997,DER SPIEGEL,Deep Kohl,http://www.spiegel-online.de/spiegel/print/d-8716326.html
12.05.1997,DER SPIEGEL,„Zuviel Respekt vor der Maschine“,http://www.spiegel-online.de/spiegel/print/d-8716749.html
05.05.1997,DER SPIEGEL,Tiefsinn mit Tippfehlern,http://www.spiegel-online.de/spiegel/print/d-8707184.html
28.04.1997,DER SPIEGEL,Duell der Superhirne,http://www.spiegel-online.de/spiegel/print/d-8704651.html
28.04.1997,DER SPIEGEL,„Es wird eine mörderische Schlacht“,http://www.spiegel-online.de/spiegel/print/d-8704674.html
28.04.1997,DER SPIEGEL,EINSTEINS MUSKEL,http://www.spiegel-online.de/spiegel/print/d-8704688.html
01.03.1997,SPIEGEL SPECIAL,Als Cyborg ewig leben,http://www.spiegel-online.de/spiegel/spiegelspecial/d-8672907.html
01.03.1997,SPIEGEL SPECIAL,Wenn Roboter Pizza essen,http://www.spiegel-online.de/spiegel/spiegelspecial/d-8672918.html
23.12.1996,DER SPIEGEL,Ironisches Superhirn,http://www.spiegel-online.de/spiegel/print/d-9141092.html
26.02.1996,DER SPIEGEL,„Mein Computer lebt“,http://www.spiegel-online.de/spiegel/print/d-8889308.html
26.02.1996,DER SPIEGEL,„Was mache ich hier?“,http://www.spiegel-online.de/spiegel/print/d-8889297.html
09.11.1992,DER SPIEGEL,Rasender Zwerg,http://www.spiegel-online.de/spiegel/print/d-13681081.html
06.07.1992,DER SPIEGEL,Enormer Schub,http://www.spiegel-online.de/spiegel/print/d-13679377.html
24.02.1992,DER SPIEGEL,Kunstvolles Netzwerk,http://www.spiegel-online.de/spiegel/print/d-13681300.html
10.02.1992,DER SPIEGEL,Roter Bazillus,http://www.spiegel-online.de/spiegel/print/d-13686736.html
13.01.1992,DER SPIEGEL,„Vorstoß in die Schaltzentralen“,http://www.spiegel-online.de/spiegel/print/d-13685569.html
11.11.1991,DER SPIEGEL,Dirigent im Kasten,http://www.spiegel-online.de/spiegel/print/d-13491684.html
04.11.1991,DER SPIEGEL,Die Zertrümmerung der Zeit,http://www.spiegel-online.de/spiegel/print/d-13491129.html
22.09.1986,DER SPIEGEL,Wundersamer Würfel,http://www.spiegel-online.de/spiegel/print/d-13521148.html
26.05.1965,DER SPIEGEL,INTELLIGENZ AUS DER MASCHINE?,http://www.spiegel-online.de/spiegel/print/d-46272771.html
